question_text,meddic_element,buyer_persona,coaching_note,industry_segment
What would make your drivers or dispatchers resistant to adopting a new tool?,Obstacles,FleetManager,End-user resistance is the most common cause of implementation failure. Understanding the specific concerns of drivers and dispatchers helps you design a change management approach that addresses them.,
Are there budget constraints that would limit the scope of what you could implement?,Obstacles,SupplyChainVP,Budget constraints are real but often negotiable. Understanding them early helps you design a phased approach that delivers value within their constraints while building toward the full solution.,
What would need to change internally for this project to get the green light?,Obstacles,SupplyChainVP,This question surfaces the specific internal prerequisites for a decision. Understanding what needs to happen helps you support your champion in navigating the internal process.,
Are there any legacy systems or data quality issues that would complicate an implementation?,Obstacles,ITArchitect,Legacy systems and data quality issues are common implementation risks. Identifying them early lets you scope the implementation correctly and set realistic expectations about timeline and effort.,
What is the biggest risk your organization sees in changing your routing approach?,Obstacles,LogisticsDirector,"Risk perception drives hesitation. Understanding the specific risks they're worried about lets you address them directly — whether through reference customers, pilot programs, or contractual protections.",
Are there any contractual obligations with your current vendor that would affect your timeline?,Obstacles,ITArchitect,Existing contracts can delay transitions by months or years. Understanding the contract situation early helps you plan the timeline and potentially help them structure a transition that minimizes penalties.,
What would need to change internally for this project to get the green light?,PlansToOvercomeObstacles,SupplyChainVP,Understanding the internal prerequisites helps you support your champion in navigating the approval process. This question also reveals whether the obstacles are real or just perceived.,
How have you successfully driven adoption of new technology with your operations team in the past?,PlansToOvercomeObstacles,LogisticsDirector,Past success patterns are the best predictor of future success. Understanding what's worked before helps you design an implementation approach that leverages their existing change management capabilities.,
What would a phased rollout look like that would reduce risk for your organization?,PlansToOvercomeObstacles,ITArchitect,A phased approach reduces risk and lowers the barrier to a first decision. This question helps you design a proposal that gets them started without requiring full commitment upfront.,
"If budget is a constraint, what would a minimum viable first phase look like?",PlansToOvercomeObstacles,SupplyChainVP,A minimum viable phase gets PTV in the door and creates a foundation for expansion. Understanding what they could fund now helps you structure a proposal that fits their current constraints.,
What would you need to see in a pilot to build confidence internally?,PlansToOvercomeObstacles,FleetManager,A well-designed pilot is the most powerful tool for overcoming internal resistance. Understanding their success criteria for the pilot lets you design one that proves value and builds momentum.,
How have you handled change management for similar operational technology projects?,PlansToOvercomeObstacles,LogisticsDirector,Change management is often the difference between implementation success and failure. Understanding their approach helps you design a program that fits their culture and capabilities.,
What support would your team need from a vendor to make this implementation successful?,PlansToOvercomeObstacles,ITArchitect,Understanding their support expectations helps you design the right implementation package and set realistic expectations about what PTV provides versus what they need to bring internally.,
"If the main concern is integration complexity, what would a low-risk integration approach look like?",PlansToOvercomeObstacles,ITArchitect,"Integration concerns can be addressed with a phased approach — start with a standalone deployment, then integrate incrementally. This question helps you design a technical path that reduces perceived risk.",
What would a strong ROI case need to show to get executive approval?,PlansToOvercomeObstacles,SupplyChainVP,Understanding the ROI requirements helps you build a business case that meets the internal approval threshold. Different organizations have different hurdle rates and payback period expectations.,
How could we structure a pilot that addresses your team's concerns about disruption?,PlansToOvercomeObstacles,FleetManager,A disruption-minimizing pilot design is often the key to getting operational teams on board. This question helps you design a pilot that proves value without creating the operational risk they're worried about.,
What would make it easier for your IT team to support this implementation?,PlansToOvercomeObstacles,ITArchitect,"IT teams are often under-resourced. Understanding what would make their job easier — better documentation, dedicated support, phased integration — helps you design an implementation that they can actually deliver.",
"If we could remove the top two obstacles you mentioned, what would the path forward look like?",PlansToOvercomeObstacles,LogisticsDirector,"This hypothetical question tests whether the obstacles are real blockers or just concerns. If removing them would clear the path, you know exactly what you need to address to move the deal forward.",
